Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/owners,20,7516,1336,17195,17272,17413,90,17413,"0,000%","1,09188","2087,72","0,41"
http://20.50.171.10:9966/petclinic/api/owners/27084,10,55,52,63,63,88,44,88,"0,000%",",95329","0,42","0,28"
Test,10,15088,15570,17548,17548,17648,7900,17648,"0,000%",",54248","2074,70","0,57"
TOTAL,40,7544,1336,17272,17422,17648,44,17648,"0,000%","2,16990","4149,41","1,13"
